id,area,api_pattern,files,rule_category,receiver_rule,input_rules,output_or_lifetime_rule,invalid_behavior,implementation_status,header_status,smoke_status,valid_path_status,last_batch,last_checked_at,evidence,notes
canvas_surface_context_getters,SkCanvas,"makeSurface|getSurface|recorder|recordingContext","skia/capi/sk_canvas.cpp;skia/capi/sk_canvas.h",returned-handle-borrowed-pointer,"canvas required","makeSurface info required; props optional","makeSurface returns caller-owned surface handle; getSurface/recorder/recordingContext return borrowed pointer",NULL canvas returns 0-or-NULL; factory failure returns 0,verified,documented,covered,covered,HN,2026-05-13,"223-phase-2-batch-hn-async-canvas-gradient-valid-paths.md",Surface-backed canvas getSurface and makeSurface valid paths are smoke-covered; recorder/recordingContext remain nullable borrowed getters on CPU surfaces.
image_texture_context_getters,SkImage,"isTextureBacked|textureSize|isValid","skia/capi/sk_image.cpp;skia/capi/sk_image.h",bool-size-getter-optional-context,"image required","isValid context optional","no ownership transfer",NULL image returns false-or-0,verified,documented,covered,representative-valid-path,HD,2026-05-13,"213-phase-2-batch-hd-image-texture-backend-context.md",Backend texture or Graphite specific C API was not exposed at this point.
canvas_matrix_getters,SkCanvas,"getLocalToDevice|getLocalToDeviceAs3x3|getTotalMatrix","skia/capi/sk_canvas.cpp;skia/capi/sk_canvas.h",caller-owned-handle-getter,"canvas required","none","returns caller-owned matrix handle",NULL canvas returns 0,verified,documented,covered,covered,HE,2026-05-13,"214-phase-2-batch-he-canvas-matrix-getters.md",Matrix getter ownership fixed by header and smoke.
image_ref_legacy_bitmap,SkImage,"ref|unref|release|unique|asLegacyBitmap","skia/capi/sk_image.cpp;skia/capi/sk_image.h",refcount-output-pointer,"image required except refcount null no-op","asLegacyBitmap bitmap required; legacyBitmapMode valid enum","bitmap is caller-owned output storage",refcount NULL no-op; unique false; asLegacyBitmap false,verified,documented,covered,representative-valid-path,HF,2026-05-13,"215-phase-2-batch-hf-image-ref-legacy-bitmap.md",Use this row before rechecking image refcount or legacy bitmap rules.
canvas_raster_factories,SkCanvas,"newFromBitmap|newFromBitmapWithProps|MakeRasterDirect|MakeRasterDirectN32","skia/capi/sk_canvas.cpp;skia/capi/sk_canvas.h",borrowed-storage-factory,"factory inputs required","bitmap/pixels/rowBytes required; props optional for MakeRasterDirect","pixel storage is caller-owned backing store and must outlive returned canvas",invalid input returns NULL-or-0; factory failure returns 0,verified,documented,covered,covered,HN,2026-05-13,"223-phase-2-batch-hn-async-canvas-gradient-valid-paths.md",Bitmap-backed and direct borrowed-storage canvas factories are smoke-covered with valid rowBytes and caller-owned backing storage.
canvas_state_getters,SkCanvas,"getSaveCount|save|restore|restoreToCount|isClipEmpty|isClipRect|quickReject|quickRejectRect","skia/capi/sk_canvas.cpp;skia/capi/sk_canvas.h",state-getter-mutation,"canvas required","quickReject geometry pointer required","no ownership transfer",numeric returns 0; bool returns false; mutation no-op,verified,documented,covered,covered,HN,2026-05-13,"223-phase-2-batch-hn-async-canvas-gradient-valid-paths.md",State getters plus valid quickReject path/rect calls are smoke-covered; quickReject result is device/clip dependent.
image_read_scale_pixels,SkImage,"readPixels|readPixelsWithContextPixmap|readPixelsWithImageInfo|readPixelsWithPixmap|scalePixels","skia/capi/sk_image.cpp;skia/capi/sk_image.h",pixel-storage-rowbytes,"image required","dstInfo/dstPixels or pixmap required; rowBytes valid; cachingHint valid; sampling required for scalePixels","caller-owned storage is not retained",invalid input returns false,verified,documented,covered,covered,GY,2026-05-13,"208-phase-2-batch-gy-image-read-scale-pixels.md",Pixmap rows require writable storage.
image_async_rescale,SkImage,"asyncRescaleAndReadPixels|asyncRescaleAndReadPixelsYUV420|asyncRescaleAndReadPixelsYUVA420","skia/capi/sk_image.cpp;skia/capi/sk_image.h",callback-failure,"image required","info/srcRect/dstSize required as applicable; enums valid; callback optional no-op","callback result is callback-only",invalid input calls callback with NULL result when callback exists,verified,documented,covered,representative-valid-path,HN,2026-05-13,"223-phase-2-batch-hn-async-canvas-gradient-valid-paths.md",Existing phase D smoke covers minimal valid SkImage asyncRescaleAndReadPixels callback path; YUV/YUVA valid paths remain environment-sensitive.
canvas_read_write_pixels,SkCanvas,"readPixels|readPixelsWithImageInfo|readPixelsWithPixmap|writePixels|writePixelsWithImageInfo","skia/capi/sk_canvas.cpp;skia/capi/sk_canvas.h",pixel-storage-rowbytes,"canvas required","bitmap/pixmap/info/pixels required; rowBytes valid","caller-owned storage is not retained",invalid input returns false,verified,documented,covered,representative-valid-path,GZ,2026-05-13,"209-phase-2-batch-gz-canvas-read-write-pixels.md",Covers canvas pixel I/O storage validation.
canvas_atlas_patch_vertices_mesh,SkCanvas,"drawAtlas|drawPatch|drawVertices|drawVerticesPtr|drawMesh","skia/capi/sk_canvas.cpp;skia/capi/sk_canvas.h",draw-array-enum-handle,"canvas required","count/array rules; optional colors; valid blend mode; valid handles","no ownership transfer; borrowed inputs not retained",invalid input is no-op,verified,documented,covered,representative-valid-path,GX,2026-05-13,"207-phase-2-batch-gx-canvas-atlas-patch-vertices-mesh.md",Use this row before rechecking atlas or vertices draw rules.
canvas_clip_bounds_getters,SkCanvas,"getBaseLayerSize|getDeviceClipBounds|getLocalClipBounds","skia/capi/sk_canvas.cpp;skia/capi/sk_canvas.h",caller-owned-handle-out-param,"canvas required","out bounds pointer required where applicable","returned size handle is caller-owned; bounds out params are caller-owned storage",invalid input returns 0-or-false,verified,documented,covered,covered,HH,2026-05-13,"217-phase-2-batch-hh-canvas-image-next-candidates.md",Completed from batch HG next candidates; valid returned handles are deleted in smoke.
image_dimensions_color_space_getters,SkImage,"width|height|dimensions|bounds|imageInfo|colorSpace","skia/capi/sk_image.cpp;skia/capi/sk_image.h",getter-handle-borrowed-ownership,"image required","none","imageInfo/dimensions/bounds handles are caller-owned; colorSpace pointer is borrowed; refColorSpace handle is caller-owned",NULL image returns 0-or-NULL,verified,documented,covered,covered,HH,2026-05-13,"217-phase-2-batch-hh-canvas-image-next-candidates.md",Completed from batch HG next candidates; valid handle and borrowed colorSpace paths are covered.
canvas_top_layer_pixels,SkCanvas,"accessTopLayerPixels|peekPixels","skia/capi/sk_canvas.cpp;skia/capi/sk_canvas.h",borrowed-storage-optional-out-param,"canvas required","accessTopLayerPixels out params optional; peekPixels pixmap required","returned raw pointer or pixmap storage is borrowed from canvas",invalid input returns false-or-NULL,verified,documented,covered,covered,HH,2026-05-13,"217-phase-2-batch-hh-canvas-image-next-candidates.md",Completed from batch HG next candidates; borrowed storage valid path was already covered and rechecked.
image_raster_texture_factories,SkImage,"makeRasterImage|makeRasterImageWithoutContext|makeNonTextureImage|withDefaultMipmaps","skia/capi/sk_image.cpp;skia/capi/sk_image.h",returned-handle-factory-failure,"image required","context optional where exposed; cachingHint valid for raster factories","successful returned image handle is caller-owned",invalid input or factory failure returns 0,verified,documented,covered,representative-valid-path,HM,2026-05-13,"222-phase-2-batch-hm-representative-coverage-reduction.md",Rechecked existing valid paths for makeRasterImage/makeRasterImageWithoutContext/makeNonTextureImage/withDefaultMipmaps; factory may validly return 0 when conversion is unavailable.
canvas_image_rect_lattice_nine_draw,SkCanvas,"drawImageRect|drawImageRectHandleWithSrcDst|drawImageRectPtr|drawImageRectPtrWithSrcDst|drawImageLattice|drawImageLatticeWithFilter|drawImageNine","skia/capi/sk_canvas.cpp;skia/capi/sk_canvas.h",draw-image-geometry-enum,"canvas required","image and geometry pointers required; paint optional; sampling required where applicable; enum values valid","draw inputs are borrowed for the call only",invalid input is no-op,verified,documented,covered,covered,HM,2026-05-13,"222-phase-2-batch-hm-representative-coverage-reduction.md","Valid drawImageRect, drawImageLattice, drawImageLatticeWithFilter, and drawImageNine paths are smoke-covered."
enum_helper_sentinel_rules,"SkAlphaType|SkBlendMode","SkAlphaTypeIsOpaque|SkBlendMode_AsCoeff|SkBlendMode_Name","skia/capi/sk_alpha_type.cpp;skia/capi/sk_alpha_type.h;skia/capi/sk_blend_mode.cpp;skia/capi/sk_blend_mode.h",enum-helper-sentinel,"none","enum values valid; AsCoeff out params required","Name returns borrowed static string",invalid enum returns false-or-NULL,changed,updated,covered,covered,HI,2026-05-13,"218-phase-2-batch-hi-enum-capabilities-codecs-gradient-graphics.md",SkColorType has no dedicated C API helper file in this batch scope.
capabilities_null_raster_backend,SkCapabilities,"ref|unref|release|skslVersion|unique|RasterBackend","skia/capi/sk_capabilities.cpp;skia/capi/sk_capabilities.h",refcount-null-static-handle,"capabilities optional for refcount no-op only","capabilities required for getters; RasterBackend has no input","RasterBackend returns caller-owned const capabilities handle",NULL refcount no-op; NULL getter returns 0-or-false,changed,updated,covered,representative-valid-path,HI,2026-05-13,"218-phase-2-batch-hi-enum-capabilities-codecs-gradient-graphics.md",RasterBackend handle existence is smoke-covered; const handle is deleted by caller.
codecs_empty_header_decoder_delegation,SkCodecs,"no direct C functions","skia/capi/sk_codecs.cpp;skia/capi/sk_codecs.h",no-direct-c-api,"none","decoder-specific APIs live in sk_*_decoder files","no direct ownership transfer in sk_codecs.h",not applicable,verified,updated,not-needed,omitted-with-reason,HI,2026-05-13,"218-phase-2-batch-hi-enum-capabilities-codecs-gradient-graphics.md",Existing decoder-specific smoke covers factory/data/stream failure rules; this row records that sk_codecs.h is intentionally empty.
gradient_shader_factories,SkGradientShader,"MakeLinear|MakeRadial|MakeTwoPointConical|MakeSweep","skia/capi/sk_gradient_shader.cpp;skia/capi/sk_gradient_shader.h",factory-array-enum-handle,"none","geometry/colors/count required; tile mode valid; interpolation required for interpolation overloads; pos/localMatrix optional","successful shader handle is caller-owned",invalid input or factory failure returns 0,changed,updated,covered,covered,HN,2026-05-13,"223-phase-2-batch-hn-async-canvas-gradient-valid-paths.md",Linear radial two-point conical and sweep representative valid paths are smoke-covered; invalid guards cover overload families.
graphics_global_cache_controls,SkGraphics,"Init|font cache getters/setters|resource cache getters/setters|purge|DumpMemoryStatistics","skia/capi/sk_graphics.cpp;skia/capi/sk_graphics.h",process-global-side-effect,"none","DumpMemoryStatistics dump optional no-op; negative font cache count rejected","process-wide global state is not caller-owned",invalid numeric returns current limit; NULL dump no-op,changed,updated,covered,representative-valid-path,HI,2026-05-13,"218-phase-2-batch-hi-enum-capabilities-codecs-gradient-graphics.md",Smoke avoids permanently changing cache limits except negative rejection and purge no-op calls.
high_contrast_config_value_object,SkHighContrastConfig,"new|newWithGrayscaleInvertStyleContrast|delete|isValid","skia/capi/sk_high_contrast_config.cpp;skia/capi/sk_high_contrast_config.h",value-object-enum-field,"config required for isValid","invertStyle must be valid; contrast is checked by isValid","returned config pointer is caller-owned",invalid invertStyle returns NULL; NULL isValid returns false,changed,updated,covered,covered,HJ,2026-05-13,"219-phase-2-batch-hj-value-icc-pdf-perlin.md",Default and explicit valid config paths are covered.
value_handle_geometry_helpers,"SkIRect|SkISize|SkSize|SkPoint","selected null helpers and caller-owned handles","skia/capi/sk_i_rect.cpp;skia/capi/sk_i_rect.h;skia/capi/sk_i_size.cpp;skia/capi/sk_i_size.h;skia/capi/sk_size.cpp;skia/capi/sk_size.h;skia/capi/sk_point.cpp;skia/capi/sk_point.h",value-handle-null-sentinel,"receiver required unless documented as handle value","selected pointer params required; count <= 0 no-op for point arrays","Make helpers return caller-owned handles",NULL pointer helpers return 0 false true or no-op by documented rule,changed,updated,covered,representative-valid-path,HJ,2026-05-13,"219-phase-2-batch-hj-value-icc-pdf-perlin.md",Representative subset covered; remaining large geometry API families stay eligible for later dedicated batches.
icc_profile_helpers,SkICC,"SkWriteICCProfile|SkWriteICCProfileFromICCProfile|SkICCFloatXYZD50ToGrid16Lab|SkICCFloatToTable16","skia/capi/sk_icc.cpp;skia/capi/sk_icc.h",data-factory-output-buffer,"none","profile inputs required; description optional; output buffers required","returned data handles are caller-owned",invalid input or factory failure returns 0; invalid buffer input no-op,verified,documented,covered,representative-valid-path,HM,2026-05-13,"222-phase-2-batch-hm-representative-coverage-reduction.md",Valid output buffer helpers are smoke-covered; valid ICC profile data construction remains out of this batch scope.
pdf_document_factories,SkPDF,"SetNodeId|MakeDocument|MakeDocumentWithoutMetadata","skia/capi/sk_pdf.cpp;skia/capi/sk_pdf.h",document-factory-stream-metadata,"canvas required for SetNodeId","stream required; metadata optional","returned document handle is caller-owned",NULL canvas no-op; NULL stream returns 0,verified,documented,covered,covered,HM,2026-05-13,"222-phase-2-batch-hm-representative-coverage-reduction.md",Feature-gated RESKIA_ENABLE_PDF=ON build and c_skia_pdf_smoke cover document factories with and without metadata.
perlin_noise_shader_factories,SkPerlinNoiseShader,"MakeFractalNoise|MakeTurbulence","skia/capi/sk_perlin_noise_shader.cpp;skia/capi/sk_perlin_noise_shader.h",shader-factory-numeric-optional-size,"none","base frequencies and octaves must be positive; tileSize optional","successful shader handle is caller-owned",invalid numeric input or factory failure returns 0,changed,updated,covered,covered,HJ,2026-05-13,"219-phase-2-batch-hj-value-icc-pdf-perlin.md",Valid path uses NULL optional tileSize and deletes returned shader handle.
point3_ipoint_vector_helpers,"SkPoint3|SkIPoint|SkVector","SkPoint3 getters/mutations/dot/cross|SkIPoint getters/mutations","skia/capi/sk_point_3.cpp;skia/capi/sk_point_3.h;skia/capi/sk_i_point.cpp;skia/capi/sk_i_point.h",value-pointer-null-sentinel,"receiver required","vector/point inputs required for dot and cross","Make and scale/cross helpers return caller-owned handles",NULL pointer input returns 0 false true or no-op by documented rule,changed,updated,covered,covered,HK,2026-05-13,"220-phase-2-batch-hk-value-transform-buffer-stroke-trace.md",SkV2/SkV3/SkV4 vector smoke already exists; this batch covers the remaining SkPoint3 and SkIPoint pointer helper family.
rsxform_matrix_m44_transform_helpers,"SkRSXform|SkMatrix|SkM44","RSXform toQuad/toTriStrip plus existing Matrix/M44 transform smoke","skia/capi/sk_rsx_form.cpp;skia/capi/sk_rsx_form.h;skia/capi/sk_matrix.cpp;skia/capi/sk_matrix.h;skia/capi/sk_m_44.cpp;skia/capi/sk_m_44.h",transform-output-array,"receiver required","RSXform output arrays and size pointer required","Make helpers return caller-owned handles",NULL receiver or required output pointer is no-op or false; invalid factories return 0,changed,updated,covered,representative-valid-path,HK,2026-05-13,"220-phase-2-batch-hk-value-transform-buffer-stroke-trace.md",Matrix and M44 were already covered in earlier smoke; this batch adds RSXform guard and valid toQuad coverage.
string_data_buffer_ownership,"SkString|SkData|SkDataTable","SkString construction/getters/mutation plus existing data/data table smoke","skia/capi/sk_string.cpp;skia/capi/sk_string.h;skia/capi/sk_data.cpp;skia/capi/sk_data.h;skia/capi/sk_data_table.cpp;skia/capi/sk_data_table.h",buffer-borrowed-pointer,"string receiver required","text/src pointers required except len 0 text overloads; data table already covered","SkString data/c_str returns borrowed storage; constructors return caller-owned pointers",NULL input returns NULL false -1 0 or no-op by documented rule,changed,updated,covered,representative-valid-path,HK,2026-05-13,"220-phase-2-batch-hk-value-transform-buffer-stroke-trace.md",SkData and SkDataTable rows remain represented by existing smoke; this batch focuses on SkString null and borrowed pointer rules.
stroke_rec_path_paint_helpers,SkStrokeRec,"constructors|getters|setStrokeParams|applyToPath|applyToPaint|inflation helpers","skia/capi/sk_stroke_rec.cpp;skia/capi/sk_stroke_rec.h",path-stroke-enum-pointer,"stroke_rec required","paint/path pointers required; cap/join/style enums must be valid; resScale must be positive and finite","static constructors return caller-owned handles",NULL input returns 0 false or no-op; invalid enum returns 0 or no-op,changed,updated,covered,representative-valid-path,HK,2026-05-13,"220-phase-2-batch-hk-value-transform-buffer-stroke-trace.md",Smoke covers invalid paths and a fill-style valid handle; paint/path valid integration can be expanded later if needed.
trace_memory_dump_noop_helpers,SkTraceMemoryDump,"dumpNumericValue|dumpStringValue|setMemoryBacking|setDiscardableMemoryBacking|getters|state dump","skia/capi/sk_trace_memory_dump.cpp;skia/capi/sk_trace_memory_dump.h",callback-dump-borrowed-string,"trace_memory_dump required","dump strings and discardable object required","dump pointer is borrowed/non-owned; delete is no-op",NULL input returns false or 0 for getters and no-op for dump methods,changed,updated,covered,omitted-with-reason,HK,2026-05-13,"220-phase-2-batch-hk-value-transform-buffer-stroke-trace.md",No concrete dump implementation is exposed in this C API scope; smoke covers NULL no-op and getter sentinels.
sampling_options_constructor_rules,SkSamplingOptions,"newCopy|newWithFilterAndMipmapModes|newWithFilterMode|new_5|isAniso|Aniso","skia/capi/sk_sampling_options.cpp;skia/capi/sk_sampling_options.h",constructor-enum-pointer,"sampling_options required for copy/isAniso","filter and mipmap enum values must be valid; cubic pointer required","constructors return caller-owned pointers; Aniso returns caller-owned handle",NULL pointer returns NULL or false; invalid enum returns NULL; Aniso preserves Skia clamp behavior,changed,updated,covered,covered,HL,2026-05-13,"221-phase-2-batch-hl-sampling-unpremul-string-stroke-trace.md",P2 todo completed; valid cubic/filter/aniso paths and invalid enum/null paths are smoke-covered.
unpremultiply_static_helpers,SkUnPreMultiply,"GetScaleTable|GetScale|ApplyScale|PMColorToColor","skia/capi/sk_un_pre_multiply.cpp;skia/capi/sk_un_pre_multiply.h",static-table-u8-sentinel,"none","alpha and component must fit U8 range","GetScaleTable returns borrowed static 256-entry table",invalid alpha/component returns 0; PMColor conversion has no pointer input,changed,updated,covered,covered,HL,2026-05-13,"221-phase-2-batch-hl-sampling-unpremul-string-stroke-trace.md",P2 todo completed; smoke covers table availability and invalid U8 sentinel behavior.
string_view_format_mutation_helpers,SkString,"new_7|setStringView|insertStringView|appendStringView|prependStringView|format helpers","skia/capi/sk_string.cpp;skia/capi/sk_string.h",string-view-handle-format-noop,"string receiver required for mutations","string_view handle must be valid; format string required","constructors return caller-owned pointers; string_view data is borrowed by handle table for the call",invalid string_view returns NULL or no-op; NULL format no-op,changed,updated,covered,covered,HL,2026-05-13,"221-phase-2-batch-hl-sampling-unpremul-string-stroke-trace.md",Extends batch HK SkString coverage with explicit static string_view handle validity checks.
stroke_rec_paint_path_valid_integration,SkStrokeRec,"staticWithPaintStyleAndResScale|setStrokeParams|setResScale|applyToPath|applyToPaint|GetInflationRadius","skia/capi/sk_stroke_rec.cpp;skia/capi/sk_stroke_rec.h",paint-path-valid-integration,"stroke_rec required","paint/path pointers required; cap/join/style enum valid; resScale positive finite","static constructor returns caller-owned handle; path/paint inputs are borrowed for the call",invalid input remains 0 false or no-op; valid paint/path integration smoke-covered,verified,updated,covered,covered,HL,2026-05-13,"221-phase-2-batch-hl-sampling-unpremul-string-stroke-trace.md",No new implementation beyond HK was needed; smoke now covers paint/path integration.
trace_memory_dump_concrete_forwarding,SkTraceMemoryDump,"concrete subclass forwarding and invalid string guards","skia/capi/sk_trace_memory_dump.cpp;skia/capi/sk_trace_memory_dump.h",concrete-dump-forwarding,"trace_memory_dump required","dump strings required; discardable object required where applicable","dump pointer is borrowed/non-owned; delete is no-op",valid dump forwards calls; invalid strings no-op; getters return concrete values,verified,updated,covered,covered,HL,2026-05-13,"221-phase-2-batch-hl-sampling-unpremul-string-stroke-trace.md",Test-only concrete dump subclass confirms wrapper forwarding without exposing a C factory.
